player,team_bat,matches_bat,innings_bat,dismisals,not_out,runs,balls_bat,fours,sixes,50s,100s,highest_score,strike_rate_bat,average_bat,team_bowl,matches_bowl,innings_bowl,overs,balls_bowl,runs_conceded,wickets,economy,average_bowl,strike_rate_bowl,dot_pct,4w,5w,best_bowling,runs_score,bat_avg_score,wickets_score,econ_score,impact_score
A Flintoff,England,74,74,60,14,2168,2414,213,56,11,2,123,89.81,36.13,England,76,76,649.0,3894,2787,135,4.29,20.64,28.84,59.37,10,3,5/19,0.23534520191055144,0.6492362982929021,0.4838709677419355,0.30243902439024395,40.61
A Gardner,Australia,62,62,49,13,1587,1505,165,40,7,3,115,105.45,32.39,Australia,83,83,607.2,3643,2608,120,4.3,21.73,30.36,56.38,5,1,5/30,0.1722752930959618,0.5820305480682839,0.43010752688172044,0.3008130081300814,35.73
A Symonds,Australia,105,105,82,23,3589,4047,304,73,24,5,151,88.68,43.77,Australia,92,92,579.3,3476,2945,83,5.08,35.48,41.88,46.66,1,1,5/18,0.3896005210594876,0.786522911051213,0.2974910394265233,0.17398373983739845,39.82
AC Jayangani,Sri Lanka,85,85,80,5,3151,4114,395,58,15,8,195,76.59,39.39,Sri Lanka,60,60,345.0,2070,1827,53,5.3,34.47,39.06,46.43,3,1,5/42,0.34205384281372125,0.7078167115902966,0.18996415770609318,0.13821138211382122,32.88
AC Kerr,New Zealand,71,72,60,12,2131,2856,208,4,10,3,119,74.61,35.52,New Zealand,82,83,706.0,4236,3292,120,4.66,27.43,35.3,51.16,8,2,7/34,0.23132870169344333,0.6382749326145554,0.43010752688172044,0.24227642276422767,37.45
AD Mathews,Sri Lanka,184,184,138,46,5646,6934,454,85,39,3,139,81.42,40.91,Sri Lanka,158,158,867.5,5205,4068,137,4.69,29.69,37.99,54.26,4,1,6/20,0.6128962223187148,0.7351302785265049,0.4910394265232975,0.23739837398373986,52.57
Abdul Razzaq,Pakistan,100,100,70,30,2327,2689,174,67,9,2,109,86.54,33.24,Pakistan,112,112,753.0,4518,3694,110,4.91,33.58,41.07,54.09,4,1,5/51,0.2526052974381242,0.5973045822102426,0.3942652329749104,0.20162601626016263,35.38
BA Stokes,England,98,99,83,16,3469,3701,283,110,24,5,182,93.73,41.8,England,87,87,536.2,3217,3206,76,5.98,42.18,42.33,41.62,3,1,5/61,0.3765740338688667,0.7511230907457322,0.2724014336917563,0.027642276422764178,35.04
CH Gayle,West Indies,198,198,189,9,6433,7434,670,254,34,13,215,86.53,34.04,West Indies,116,116,752.8,4517,3569,112,4.74,31.87,40.33,44.81,4,1,5/47,0.6983282674772037,0.6116801437556154,0.4014336917562724,0.2292682926829268,49.81
CL Tryon,South Africa,77,78,65,13,1910,1805,176,68,11,0,88,105.82,29.38,South Africa,70,70,444.0,2664,2060,57,4.64,36.14,46.74,53.0,1,1,5/34,0.20733825445071646,0.5279424977538185,0.20430107526881722,0.24552845528455292,27.82
