bowler,team,matches,innings,overs,balls,runs_conceded,wickets,economy,average,strike_rate,dot_pct,4w,5w,best_bowling
A Dananjaya,Sri Lanka,38,38,337.3,2024,1740,56,5.16,31.07,36.14,49.26,4,2,6/30
A Dutt,Netherlands,50,50,410.8,2465,1985,64,4.83,31.02,38.52,57.73,1,1,6/34
A Flintoff,England,76,76,649.0,3894,2787,135,4.29,20.64,28.84,59.37,10,3,5/19
A Gardner,Australia,83,83,607.2,3643,2608,120,4.3,21.73,30.36,56.38,5,1,5/30
A Hartley,England,21,21,170.7,1024,727,27,4.26,26.93,37.93,56.74,1,0,4/37
A Khaka,South Africa,102,102,813.3,4880,3475,141,4.27,24.65,34.61,59.57,5,2,5/26
A King,Australia,48,48,350.3,2102,1528,85,4.36,17.98,24.73,55.19,6,3,7/18
A Kumble,India,28,28,254.0,1524,1192,32,4.69,37.25,47.62,52.62,1,0,4/32
A Mishra,India,31,31,300.8,1805,1442,65,4.79,22.18,27.77,53.63,5,2,6/48
A Mohammed,West Indies,43,43,335.8,2015,1533,58,4.57,26.43,34.74,51.36,3,1,5/47
A Nehra,India,79,79,624.2,3745,3363,115,5.39,29.24,32.57,52.31,7,2,6/23
A Nel,South Africa,57,57,490.2,2941,2254,94,4.6,23.98,31.29,59.4,5,2,6/27
A Nortje,South Africa,21,21,170.5,1023,1004,38,5.89,26.42,26.92,51.03,3,0,4/51
A Shrubsole,England,66,66,538.3,3230,2234,93,4.15,24.02,34.73,62.2,4,1,6/47
A Sutherland,Australia,48,48,307.5,1845,1426,67,4.64,21.28,27.54,55.07,4,1,5/45
A Symonds,Australia,92,92,579.3,3476,2945,83,5.08,35.48,41.88,46.66,1,1,5/18
A Vala,Papua New Guinea,51,51,336.2,2017,1320,47,3.93,28.09,42.91,57.16,0,0,3/17
A Zampa,Australia,113,113,991.3,5948,5499,193,5.55,28.49,30.82,44.15,13,1,5/35
AA Alleyne,West Indies,44,44,254.0,1524,1318,52,5.19,25.35,29.31,50.13,1,0,4/39
AB Agarkar,India,65,65,568.5,3411,2788,106,4.9,26.3,32.18,57.55,5,3,6/42
AC Agar,Australia,22,22,184.5,1107,970,22,5.26,44.09,50.32,44.53,0,0,3/50
AC Evans,Scotland,26,26,216.5,1299,1165,37,5.38,31.49,35.11,56.27,3,1,5/43
AC Jayangani,Sri Lanka,60,60,345.0,2070,1827,53,5.3,34.47,39.06,46.43,3,1,5/42
AC Kerr,New Zealand,82,83,706.0,4236,3292,120,4.66,27.43,35.3,51.16,8,2,7/34
AD Mathews,Sri Lanka,158,158,867.5,5205,4068,137,4.69,29.69,37.99,54.26,4,1,6/20
AD Russell,West Indies,54,54,393.7,2362,2235,72,5.68,31.04,32.81,48.9,5,0,4/36
AE Satterthwaite,New Zealand,34,34,176.7,1060,839,29,4.75,28.93,36.55,51.98,2,1,5/33
AF Giles,England,33,33,286.7,1720,1218,41,4.25,29.71,41.95,50.17,0,0,3/25
AF Milne,New Zealand,47,47,376.8,2261,2023,59,5.37,34.29,38.32,53.38,1,0,4/34
AG Cremer,Zimbabwe,67,67,538.5,3231,2627,75,4.88,35.03,43.08,49.27,4,1,5/29
AJ Bichel,Australia,26,26,216.2,1297,943,33,4.36,28.58,39.3,57.29,2,1,7/20
AJ Hall,South Africa,52,52,436.8,2621,1989,85,4.55,23.4,30.84,55.4,6,3,5/18
AJ Hosein,West Indies,40,41,377.3,2264,1801,67,4.77,26.88,33.79,52.08,3,0,4/39
AK Markram,South Africa,39,39,195.2,1171,1129,20,5.78,56.45,58.55,43.21,0,0,2/18
AL Phehlukwayo,South Africa,75,75,531.5,3189,3003,96,5.65,31.28,33.22,45.06,3,1,5/44
AM Blignaut,Zimbabwe,30,30,239.3,1436,1201,30,5.02,40.03,47.87,53.76,2,0,4/45
AM Fernando,Sri Lanka,26,26,185.7,1114,1091,34,5.88,32.09,32.76,50.0,1,1,5/36
AM Phangiso,South Africa,21,21,183.8,1103,847,30,4.61,28.23,36.77,53.76,0,0,3/43
AN Kelly,Ireland,35,35,282.0,1692,1364,50,4.84,27.28,33.84,53.72,3,2,6/37
AR Cusack,Ireland,27,27,168.2,1009,866,34,5.15,25.47,29.68,51.04,1,0,4/35
AR McBrine,Ireland,68,68,566.3,3398,2753,74,4.86,37.2,45.92,51.35,2,0,4/28
AR Nurse,West Indies,45,45,364.5,2187,2009,44,5.51,45.66,49.7,42.84,2,0,4/51
AR Patel,India,66,66,552.2,3313,2499,78,4.53,32.04,42.47,54.63,0,0,3/32
AS Joseph,West Indies,74,74,665.3,3992,3624,134,5.45,27.04,29.79,50.95,7,1,5/56
ASS Fletcher,West Indies,57,57,468.0,2808,2130,87,4.55,24.48,32.28,51.92,2,0,4/20
AU Rashid,England,151,151,1325.0,7950,7407,244,5.59,30.36,32.58,44.15,13,3,5/27
Aayan Afzal Khan,United Arab Emirates,38,38,331.7,1990,1381,50,4.16,27.62,39.8,58.54,1,0,4/14
Abdul Razzaq,Pakistan,112,112,753.0,4518,3694,110,4.91,33.58,41.07,54.09,4,1,5/51
Abdur Razzak,Bangladesh,121,121,1068.0,6408,4923,176,4.61,27.97,36.41,54.78,9,5,5/29
Abdur Rehman,Pakistan,30,30,264.7,1588,1130,35,4.27,32.29,45.37,54.03,2,1,5/24
Agha Salman,Pakistan,33,33,169.5,1017,1002,19,5.91,52.74,53.53,45.62,1,0,4/36
Ahmed Raza,United Arab Emirates,47,47,420.5,2523,1757,61,4.18,28.8,41.36,55.61,2,1,5/26
Anam Amin,Pakistan,23,23,189.8,1139,730,32,3.85,22.81,35.59,62.42,2,1,5/35
Asmavia Iqbal,Pakistan,25,25,194.2,1165,1019,27,5.25,37.74,43.15,53.48,0,0,3/28
Ayan Khan,Oman,33,33,195.8,1175,937,28,4.79,33.46,41.96,53.79,0,0,3/12
B Kumar,India,119,119,991.7,5950,5050,160,5.09,31.56,37.19,55.97,7,1,5/47
B Lee,Australia,151,151,1360.3,8162,6347,281,4.67,22.59,29.05,58.06,19,9,6/28
B Muzarabani,Zimbabwe,47,48,404.5,2427,2070,61,5.12,33.93,39.79,53.28,3,1,5/50
BA Carse,England,29,29,225.8,1355,1389,36,6.15,38.58,37.64,50.11,1,1,5/61
BA Stokes,England,87,87,536.2,3217,3206,76,5.98,42.18,42.33,41.62,3,1,5/61
BA Williams,Australia,19,19,166.8,1001,666,34,3.99,19.59,29.44,62.54,3,2,5/22
BAW Mendis,Sri Lanka,79,79,667.3,4004,3278,144,4.91,22.76,27.81,49.15,9,2,6/13
BFW de Leede,Netherlands,38,38,251.0,1506,1463,45,5.83,32.51,33.47,48.07,2,1,5/52
BJ McCarthy,Ireland,35,35,305.8,1835,1786,59,5.84,30.27,31.1,51.34,2,1,5/34
BJ McMullen,Scotland,33,33,274.0,1644,1248,59,4.55,21.15,27.86,61.68,3,1,5/34
BM Scholtz,Namibia,60,60,537.2,3223,1797,100,3.35,17.97,32.23,66.24,6,2,5/22
BMAJ Mendis,Sri Lanka,47,47,232.3,1394,1199,31,5.16,38.68,44.97,40.67,0,0,3/15
BMSM Kumari,Sri Lanka,39,39,282.0,1692,1448,36,5.13,40.22,47.0,46.45,1,0,4/32
BV Vitori,Zimbabwe,20,20,177.2,1063,1026,33,5.79,31.09,32.21,49.11,2,2,6/28
BW Hilfenhaus,Australia,25,25,212.5,1275,1092,33,5.14,33.09,38.64,56.16,1,1,5/35
Basil Hameed,United Arab Emirates,40,40,233.2,1399,989,46,4.24,21.5,30.41,55.33,3,1,5/17
Bilal Khan,Oman,47,47,419.2,2515,2076,100,4.95,20.76,25.15,55.63,8,4,5/31
C Campher,Ireland,33,33,184.8,1109,1016,33,5.5,30.79,33.61,50.32,1,0,4/39
C Murray,Ireland,33,33,270.3,1622,1549,54,5.73,28.69,30.04,44.08,2,2,7/31
C de Grandhomme,New Zealand,44,44,261.5,1569,1243,29,4.75,42.86,54.1,50.92,0,0,3/26
CA Henry,West Indies,48,48,256.5,1539,1246,34,4.86,36.65,45.26,56.21,0,0,3/19
CA Soper,Papua New Guinea,50,50,396.7,2380,1774,67,4.47,26.48,35.52,59.12,3,2,6/45
