keeper,catches,stumpings,total_dismissals,matches_as_keeper,batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average,dismissals_per_match,catches_per_match,stumpings_per_match,runs_score,keeping_score,keeper_score
A Bagai,29,5,34,20,A Bagai,Canada,24,24,21,3,614,995,63,1,5,0,87,61.71,29.24,1.7,1.45,0.25,5.27,7.98,6.62
A Hunter,16,9,25,14,A Hunter,Ireland,39,39,36,3,1130,1352,125,3,7,1,121,83.58,31.39,1.79,1.14,0.64,9.71,5.87,7.79
A Saud,8,2,10,5,A Saud,Nepal,11,11,11,0,189,401,17,4,1,0,51,47.13,17.18,2.0,1.6,0.4,1.62,2.35,1.98
A Sharma,22,1,23,16,A Sharma,United Arab Emirates,29,29,27,2,578,791,68,9,3,0,98,73.07,21.41,1.44,1.38,0.06,4.97,5.4,5.18
A Valthapa,3,1,4,2,A Valthapa,United Arab Emirates,1,1,1,0,14,22,1,0,0,0,14,63.64,14.0,2.0,1.5,0.5,0.12,0.94,0.53
AA Mulla,4,1,5,4,AA Mulla,Canada,8,8,8,0,150,160,21,4,1,0,58,93.75,18.75,1.25,1.0,0.25,1.29,1.17,1.23
AA Shafique,2,2,4,2,AA Shafique,Oman,1,1,1,0,13,33,2,0,0,0,13,39.39,13.0,2.0,1.0,1.0,0.11,0.94,0.52
AB de Villiers,174,5,179,114,AB de Villiers,South Africa,213,213,175,38,9435,9488,825,200,52,25,176,99.44,53.91,1.57,1.53,0.04,81.06,42.02,61.54
AC Gilchrist,186,19,205,95,AC Gilchrist,Australia,118,118,112,6,4355,4260,556,75,27,7,172,102.23,38.88,2.16,1.96,0.2,37.41,48.12,42.76
AE Jones,88,19,107,62,AE Jones,England,85,85,73,12,2593,3043,298,20,16,2,129,85.21,35.52,1.73,1.42,0.31,22.28,25.12,23.7
AJ Healy,63,33,96,62,AJ Healy,Australia,95,95,88,7,3338,3389,473,34,16,7,170,98.5,37.93,1.55,1.02,0.53,28.68,22.54,25.61
AJ Stewart,12,2,14,8,AJ Stewart,England,12,12,11,1,398,547,32,1,4,0,83,72.76,36.18,1.75,1.5,0.25,3.42,3.29,3.36
AT Carey,90,8,98,53,AT Carey,Australia,77,77,64,13,2245,2533,213,24,13,1,106,88.63,35.08,1.85,1.7,0.15,19.29,23.0,21.14
Aasif Sheikh,43,6,49,34,Aasif Sheikh,Nepal,60,60,55,5,1578,2153,185,15,12,1,110,73.29,28.69,1.44,1.26,0.18,13.56,11.5,12.53
Abdul Shakoor,3,1,4,2,Abdul Shakoor,United Arab Emirates,2,2,2,0,34,66,2,1,0,0,24,51.52,17.0,2.0,1.5,0.5,0.29,0.94,0.62
Amjad Ali,7,1,8,5,Amjad Ali,United Arab Emirates,10,10,10,0,249,387,33,0,1,0,77,64.34,24.9,1.6,1.4,0.2,2.14,1.88,2.01
B Bhandari,23,1,24,12,B Bhandari,Nepal,13,13,13,0,265,443,24,3,1,0,59,59.82,20.38,2.0,1.92,0.08,2.28,5.63,3.96
B Tau,6,4,10,5,B Tau,Papua New Guinea,11,11,11,0,159,351,16,0,0,0,38,45.3,14.45,2.0,1.2,0.8,1.37,2.35,1.86
B de Leede,13,3,16,11,B de Leede,Netherlands,13,13,13,0,289,435,32,1,2,0,76,66.44,22.23,1.45,1.18,0.27,2.48,3.76,3.12
BAM Heath,3,1,4,3,BAM Heath,England,4,4,3,1,59,61,3,1,0,0,33,96.72,19.67,1.33,1.0,0.33,0.51,0.94,0.72
BB Chari,3,1,4,3,BB Chari,Zimbabwe,14,14,14,0,186,412,12,2,0,0,39,45.15,13.29,1.33,1.0,0.33,1.6,0.94,1.27
BB McCullum,212,14,226,129,BB McCullum,New Zealand,186,186,164,22,5157,5457,490,172,29,4,131,94.5,31.45,1.75,1.64,0.11,44.3,53.05,48.68
BJ Haddin,161,9,170,87,BJ Haddin,Australia,107,107,93,14,3003,3648,283,70,16,2,110,82.32,32.29,1.95,1.85,0.1,25.8,39.91,32.85
BKG Mendis,85,16,101,64,BKG Mendis,Sri Lanka,136,136,127,9,4419,5168,464,67,30,6,143,85.51,34.8,1.58,1.33,0.25,37.96,23.71,30.84
BL Mooney,52,2,54,39,BL Mooney,Australia,83,83,62,21,3090,3501,328,14,19,6,138,88.26,49.84,1.38,1.33,0.05,26.55,12.68,19.62
BRM Taylor,103,17,120,74,BRM Taylor,Zimbabwe,162,163,153,10,5150,6970,480,66,27,10,145,73.89,33.66,1.62,1.39,0.23,44.24,28.17,36.2
BT Foakes,2,1,3,1,BT Foakes,England,1,1,0,0,61,78,3,1,1,0,61,78.21,inf,3.0,2.0,1.0,0.52,0.7,0.61
Batool Fatima,4,9,13,6,Batool Fatima,Pakistan,5,5,5,0,64,105,6,0,0,0,28,60.95,12.8,2.17,0.67,1.5,0.55,3.05,1.8
C Carter,7,2,9,7,C Carter,Hong Kong,8,8,8,0,111,176,16,0,0,0,43,63.07,13.88,1.29,1.0,0.29,0.95,2.11,1.53
C Kieswetter,53,11,64,34,C Kieswetter,England,38,38,34,4,985,1130,98,30,4,1,107,87.17,28.97,1.88,1.56,0.32,8.46,15.02,11.74
C Madande,10,1,11,7,C Madande,Zimbabwe,13,13,12,1,287,390,29,0,2,0,74,73.59,23.92,1.57,1.43,0.14,2.47,2.58,2.53
CAK Walton,9,1,10,4,CAK Walton,West Indies,8,8,8,0,53,88,7,0,0,0,19,60.23,6.62,2.5,2.25,0.25,0.46,2.35,1.4
CD Wallace,14,1,15,10,CD Wallace,Scotland,25,25,24,1,515,598,42,9,4,0,58,86.12,21.46,1.5,1.4,0.1,4.42,3.52,3.97
CE Coulter Reilly,5,2,7,4,CE Coulter Reilly,Ireland,10,10,9,1,207,325,22,0,1,0,80,63.69,23.0,1.75,1.25,0.5,1.78,1.64,1.71
CJO Smith,6,3,9,6,CJO Smith,Scotland,9,9,9,0,157,240,23,0,1,0,51,65.42,17.44,1.5,1.0,0.5,1.35,2.11,1.73
CK Coventry,10,1,11,11,CK Coventry,Zimbabwe,24,24,23,1,645,737,48,26,3,1,194,87.52,28.04,1.0,0.91,0.09,5.54,2.58,4.06
CO Browne,16,3,19,8,CO Browne,West Indies,8,8,6,2,144,171,14,2,0,0,46,84.21,24.0,2.38,2.0,0.38,1.24,4.46,2.85
CS Baugh,34,9,43,26,CS Baugh,West Indies,27,27,20,7,382,563,30,4,0,0,49,67.85,19.1,1.65,1.31,0.35,3.28,10.09,6.68
CT Dhururu,8,4,12,8,CT Dhururu,Zimbabwe,19,19,16,3,221,540,21,0,0,0,46,40.93,13.81,1.5,1.0,0.5,1.9,2.82,2.36
D Bau,5,2,7,4,D Bau,Papua New Guinea,8,8,7,1,130,222,10,1,0,0,46,58.56,18.57,1.75,1.25,0.5,1.12,1.64,1.38
D Murphy,3,2,5,1,D Murphy,Scotland,2,2,2,0,9,28,0,0,0,0,7,32.14,4.5,5.0,3.0,2.0,0.08,1.17,0.62
D Ramdin,164,7,171,92,D Ramdin,West Indies,103,103,84,19,2072,2636,153,31,7,2,169,78.6,24.67,1.86,1.78,0.08,17.8,40.14,28.97
